Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season
91.0,Stephen Jackson,31.0,CHA,SG,4.0,4.0,156.0,9.8,0.459,0.269,0.388,5.0,11.6,8.3,19.3,1.8,0.8,17.8,30.2,-0.4,0.1,-0.3,-0.085,-1.7,-1.4,-3.1,0.0,,2009-10
92.0,Serge Ibaka,20.0,OKC,PF,6.0,0.0,153.0,15.3,0.596,0.0,0.286,9.3,19.0,14.1,2.6,0.7,6.4,13.2,13.5,0.2,0.3,0.5,0.144,-1.0,2.0,0.9,0.1,,2009-10
93.0,Martell Webster,23.0,POR,SF,6.0,0.0,152.0,13.3,0.492,0.327,0.346,5.4,16.1,10.5,4.8,1.8,1.8,4.8,19.8,0.1,0.0,0.1,0.028,-0.4,-0.2,-0.6,0.1,,2009-10
94.0,Boris Diaw,27.0,CHA,PF,4.0,4.0,152.0,7.4,0.519,0.321,0.071,6.0,11.0,8.5,18.8,0.4,2.4,29.4,13.3,-0.1,0.0,-0.1,-0.028,-1.6,-0.6,-2.2,0.0,,2009-10
95.0,Quentin Richardson,29.0,MIA,SF,5.0,5.0,149.0,11.1,0.519,0.489,0.111,0.8,16.3,7.9,9.3,2.8,0.6,9.6,16.3,0.0,0.2,0.3,0.085,-0.4,2.3,1.9,0.1,,2009-10
96.0,Maurice Evans,31.0,ATL,SF,11.0,0.0,148.0,2.4,0.338,0.27,0.0,3.0,7.9,5.2,2.1,3.4,0.0,11.9,13.5,-0.3,0.1,-0.2,-0.067,-6.1,-0.7,-6.8,-0.2,,2009-10
97.0,Shawn Marion,31.0,DAL,SF,6.0,6.0,148.0,7.9,0.425,0.068,0.085,5.3,13.6,9.5,7.4,0.4,1.5,11.6,21.9,-0.2,0.2,-0.1,-0.027,-3.6,-1.4,-5.0,-0.1,,2009-10
98.0,Taj Gibson,24.0,CHI,PF,5.0,5.0,145.0,9.1,0.444,0.0,0.289,6.9,22.0,14.1,3.1,0.4,1.9,4.5,14.0,0.0,0.0,0.0,0.016,-2.9,-0.9,-3.8,-0.1,,2009-10
99.0,Jerry Stackhouse,35.0,MIL,SG,7.0,0.0,144.0,11.8,0.492,0.349,0.465,0.8,8.8,4.9,9.2,1.9,0.5,8.8,18.8,0.1,0.1,0.2,0.063,-0.9,0.6,-0.3,0.1,,2009-10
100.0,Udonis Haslem,29.0,MIA,PF,5.0,0.0,142.0,5.2,0.378,0.0,0.162,7.3,26.6,16.2,4.6,0.4,0.6,11.2,14.6,-0.2,0.2,0.0,-0.013,-4.4,-1.3,-5.7,-0.1,,2009-10
101.0,Nicolas Batum,21.0,POR,SF,6.0,6.0,139.0,11.8,0.605,0.568,0.216,3.4,13.9,8.4,6.4,0.8,0.0,9.0,15.4,0.2,-0.1,0.2,0.052,0.6,-1.0,-0.4,0.1,,2009-10
102.0,Brendan Haywood,30.0,DAL,C,6.0,2.0,139.0,19.3,0.604,0.0,0.952,14.6,15.3,14.9,3.5,2.7,5.3,9.1,11.0,0.3,0.3,0.6,0.212,1.6,2.7,4.3,0.2,,2009-10
103.0,Michael Beasley,21.0,MIA,PF,5.0,5.0,135.0,9.8,0.491,0.041,0.184,8.5,19.0,13.4,4.1,1.6,0.0,19.7,22.7,-0.2,0.2,-0.1,-0.024,-2.8,-1.3,-4.1,-0.1,,2009-10
104.0,Mario Chalmers,23.0,MIA,PG,5.0,0.0,131.0,10.3,0.591,0.5,0.325,0.9,8.2,4.3,17.6,1.2,0.0,20.8,20.5,0.0,0.1,0.2,0.056,-1.6,-0.1,-1.7,0.0,,2009-10
105.0,Raymond Felton,25.0,CHA,PG,4.0,4.0,130.0,12.7,0.497,0.31,0.286,3.0,6.9,5.0,29.6,0.9,0.0,11.3,20.2,0.1,0.0,0.1,0.037,1.6,-1.3,0.3,0.1,,2009-10
106.0,Nick Collison,29.0,OKC,C,6.0,0.0,129.0,5.1,0.351,0.042,0.292,10.2,13.8,12.0,2.7,2.1,0.6,12.9,11.0,-0.1,0.2,0.1,0.02,-5.5,-0.6,-6.1,-0.1,,2009-10
107.0,Nenad Krstić,26.0,OKC,C,6.0,6.0,129.0,14.5,0.498,0.0,0.378,12.8,17.3,15.0,5.9,1.2,2.5,10.4,17.0,0.1,0.2,0.3,0.122,-0.7,0.2,-0.5,0.1,,2009-10
108.0,Nate Robinson,25.0,BOS,PG,17.0,0.0,128.0,17.1,0.503,0.516,0.234,3.9,9.3,6.7,26.8,2.5,0.7,9.0,29.0,0.1,0.2,0.3,0.124,3.1,1.5,4.7,0.2,,2009-10
109.0,Thabo Sefolosha,25.0,OKC,SG,6.0,6.0,127.0,9.3,0.436,0.481,0.333,2.6,13.2,7.8,9.6,2.1,3.8,6.1,11.8,0.0,0.2,0.2,0.085,-2.0,3.0,1.1,0.1,,2009-10
