Unnamed: 0,Team,Season,Wins,Losses,payroll,inflationAdjPayroll,revenue,Superteam
363,Houston Rockets,2011,34.0,32.0,,,150000000.0,0
364,Dallas Mavericks,2011,36.0,30.0,,,166000000.0,0
365,Orlando Magic,2011,37.0,29.0,,,140000000.0,0
366,Los Angeles Lakers,2011,41.0,25.0,88264478.0,115867013.0,208000000.0,0
367,Memphis Grizzlies,2011,41.0,25.0,,,99000000.0,0
368,Denver Nuggets,2011,38.0,28.0,,,113000000.0,0
369,Boston Celtics,2011,39.0,27.0,,,146000000.0,1
370,Los Angeles Clippers,2011,40.0,26.0,67333389.0,88390241.0,108000000.0,0
371,Atlanta Hawks,2011,40.0,26.0,,,109000000.0,0
372,Indiana Pacers,2011,42.0,24.0,,,101000000.0,0
373,New York Knicks,2011,36.0,30.0,,,244000000.0,0
374,Philadelphia 76ers,2011,35.0,31.0,,,116000000.0,0
375,Oklahoma City Thunder,2011,47.0,19.0,,,126000000.0,0
376,Miami Heat,2011,46.0,20.0,,,158000000.0,1
377,San Antonio Spurs,2011,50.0,16.0,,,139000000.0,0
378,Chicago Bulls,2011,50.0,16.0,,,185000000.0,0
379,League Average,2011,,,,,,0
380,Team,2012,,,,,,0
381,Oklahoma City Thunder,2012,60.0,22.0,,,127000000.0,0
382,Miami Heat,2012,66.0,16.0,,,150000000.0,1
383,Los Angeles Clippers,2012,56.0,26.0,69152721.0,89292698.0,108000000.0,0
384,San Antonio Spurs,2012,58.0,24.0,,,135000000.0,0
385,Denver Nuggets,2012,57.0,25.0,,,110000000.0,0
386,New York Knicks,2012,54.0,28.0,,,243000000.0,0
387,Memphis Grizzlies,2012,56.0,26.0,,,96000000.0,0
388,Indiana Pacers,2012,49.0,32.0,,,98000000.0,0
389,Houston Rockets,2012,45.0,37.0,,,135000000.0,0
390,Brooklyn Nets,2012,49.0,33.0,,,84000000.0,0
391,Los Angeles Lakers,2012,45.0,37.0,100131988.0,129294344.0,197000000.0,1
392,Golden State Warriors,2012,47.0,35.0,,,127000000.0,0
393,Atlanta Hawks,2012,44.0,38.0,,,99000000.0,0
394,Chicago Bulls,2012,45.0,37.0,,,162000000.0,0
395,Utah Jazz,2012,43.0,39.0,,,111000000.0,0
396,Boston Celtics,2012,41.0,40.0,,,143000000.0,1
397,Dallas Mavericks,2012,41.0,41.0,,,137000000.0,0
398,Milwaukee Bucks,2012,38.0,44.0,,,78000000.0,0
399,Toronto Raptors,2012,34.0,48.0,,,121000000.0,0
400,Minnesota Timberwolves,2012,31.0,51.0,,,96000000.0,0
401,Washington Wizards,2012,29.0,53.0,,,102000000.0,0
402,Portland Trail Blazers,2012,33.0,49.0,,,117000000.0,0
403,Philadelphia 76ers,2012,34.0,48.0,,,107000000.0,0
404,Detroit Pistons,2012,29.0,53.0,,,125000000.0,0
405,New Orleans Hornets,2012,27.0,55.0,,,,0
406,Cleveland Cavaliers,2012,24.0,58.0,,,128000000.0,0
407,Sacramento Kings,2012,28.0,54.0,,,96000000.0,0
408,Phoenix Suns,2012,25.0,57.0,,,121000000.0,0
409,Orlando Magic,2012,20.0,62.0,,,126000000.0,0
410,Charlotte Bobcats,2012,21.0,61.0,,,,0
411,League Average,2012,,,,,,0
412,Team,2013,,,,,,0
